path,verified_pattern,code_summary
mcp-agent/cluster_70.py,Using Tools with LLMs,"This code implements an Augmented LLM pattern, enabling agentic systems to enhance base LLMs (OpenAI, Anthropic) with external capabilities like conversational memory and dynamic tool use. It features iterative generation for multi-turn interactions, where LLMs autonomously call tools, process results, and manage conversation history. Additionally, it supports structured output generation via JSON schemas for reliable data extraction and integrates comprehensive tracing for observability of AI interactions."
mcp-agent/cluster_70.py,Using Tools with LLMs,"This code implements a robust Remote Procedure Call (RPC) client pattern (`GenesisRPCClientTemplate`) for interacting with remote AI services, handling secure communication, retries, and timeouts. A key AI pattern demonstrated is the `RemoteGenerator`, which enables efficient, on-demand streaming and iteration over sequences of AI-generated data or results from a remote source. This infrastructure is crucial for distributed AI workloads, allowing clients to consume iterative outputs from remote models or data pipelines without loading entire datasets locally."
AIlice/cluster_24.py,Using Tools with LLMs,"This code implements a modular agentic architecture, enabling AI systems to dynamically integrate and leverage external tools for diverse tasks. It demonstrates patterns for external knowledge retrieval using vector databases (Weaviate), multimodal processing (speech-to-text, text-to-speech), and AI-driven automation through web browsing, script execution, and direct computer interaction. The system facilitates intelligent tool-use by dynamically generating prompts with tool descriptions and schemas, allowing AI agents to perform complex function calls."
AIlice/cluster_25.py,Using Tools with LLMs,"The code implements a modular tool-use pattern, where distinct classes like `ADuckDuckGo`, `AGoogle`, `AArxiv`, and `AScripter` expose specific actions and prompts for an AI agent to invoke. It incorporates a robust session management system, enabling stateful interactions and incremental consumption of large outputs through scrollable pages. Furthermore, the `AScripter` module provides an agentic execution environment for running bash and Python code, supporting dynamic code interpretation."
AIlice/cluster_30.py,Using Tools with LLMs,"This code implements a robust **tool-use pattern** for an AI agent, defining a comprehensive set of browser actions (e.g., BROWSE, SCROLL-DOWN, EXECUTE-JS) with explicit prompts and parameter definitions via the `ModuleInfo` method and `functions` dictionary. It further employs a **context-aware tool selection pattern**, dynamically instantiating specialized browser types (web, PDF, text, file) based on the input, ensuring the AI interacts appropriately with diverse content within a strictly defined, headless environment."
AIlice/cluster_33.py,Using Tools with LLMs,"This code defines an `AProcessor` class, representing an AI agent within a multi-agent system, capable of dynamically invoking tools and managing sub-agents. It employs a sophisticated prompt engineering pattern, building structured prompts for an integrated LLM based on conversational context and registered actions. The system further supports dynamic extensibility by loading external modules and new agent types, enhancing its capabilities and enabling persistent state management for agents and their interactions."
AIlice/cluster_35.py,Using Tools with LLMs,"This code implements a **tool/function calling pattern** through an `AInterpreter` that dynamically registers regex patterns and corresponding actions to parse and execute domain-specific commands and object creations from text. It also features **multimodal input processing** within `AConversations`, extracting code snippets and handling various media types or variable references embedded in messages. A shared environment (`env`) facilitates **contextual state management**, allowing the AI to store, retrieve, and manipulate variables and objects throughout a conversation."
AIlice/cluster_4.py,Using Tools with LLMs,"This code implements a multi-agent AI system, where specialized agents like `APromptResearcher` and `APromptCoderProxy` are equipped with distinct function-calling capabilities. A core pattern involves dynamic prompt engineering, integrating contextual information and retrieval-augmented generation (RAG) from stored data. This enables agents to delegate tasks, execute code (Bash/Python), and interact with external tools for adaptive problem-solving."
AIlice/cluster_7.py,Using Tools with LLMs,"The code implements an agentic AI pattern, orchestrating an `AProcessor` within a `TaskSession` that manages its lifecycle and state transitions via a state machine. This processor integrates a pool of Large Language Models and leverages a modular architecture by registering various external services (e.g., search, coding, speech) as tools. It further employs a `APromptsManager` to handle specialized prompts, enabling sophisticated prompt engineering for diverse AI tasks."
AgentBench/cluster_10.py,Using Tools with LLMs,"This code defines an `HTTPAgent` that implements a pattern for interacting with external AI models, utilizing a configurable `prompter` to manage and format conversational history for API requests. It incorporates specific AI-centric robustness patterns, including retries for API calls and a heuristic `check_context_limit` function to detect and handle large language model context window overflow errors. This approach demonstrates an agent-based strategy for integrating and managing interactions with AI services, addressing their unique input and error characteristics."
