"Jeong, Soyeong, et al. ""Adaptive-rag: Learning to adapt retrieval-augmented large language models through question complexity."" arXiv preprint arXiv:2403.14403 (2024)."
"Peng, Baolin, et al. ""Check your facts and try again: Improving large language models with external knowledge and automated feedback."" arXiv preprint arXiv:2302.12813 (2023)."
"Patil, Shishir G., et al. ""Gorilla: Large language model connected with massive apis."" Advances in Neural Information Processing Systems 37 (2024): 126544-126565."
"Siriwardhana, Shamane, et al. ""Improving the domain adaptation of retrieval augmented generation (RAG) models for open domain question answering."" Transactions of the Association for Computational Linguistics 11 (2023): 1-17."
"Ram, Ori, et al. ""In-context retrieval-augmented language models."" Transactions of the Association for Computational Linguistics 11 (2023): 1316-1331."
"Pastor, Eliana. ""Pattern-based algorithms for Explainable AI."" (2021)."
"Luo, Linhao, et al. ""Reasoning on graphs: Faithful and interpretable large language model reasoning."" arXiv preprint arXiv:2310.01061 (2023)."
"Zhang, Tianjun, et al. ""Raft: Adapting language model to domain specific rag."" arXiv preprint arXiv:2403.10131 (2024)."
"Jin, Chao, et al. ""Ragcache: Efficient knowledge caching for retrieval-augmented generation."" ACM Transactions on Computer Systems 44.1 (2025): 1-27."
"Yu, Yue, et al. ""Rankrag: Unifying context ranking with retrieval-augmented generation in llms."" Advances in Neural Information Processing Systems 37 (2024): 121156-121184."
"Lewis, Patrick, et al. ""Retrieval-augmented generation for knowledge-intensive nlp tasks."" Advances in neural information processing systems 33 (2020): 9459-9474."
"Joren, Hailey, et al. ""Sufficient context: A new lens on retrieval augmented generation systems."" arXiv preprint arXiv:2411.06037 (2024)."
"Sun, Jiashuo, et al. ""Think-on-graph: Deep and responsible reasoning of large language model on knowledge graph."" arXiv preprint arXiv:2307.07697 (2023)."
"Gou, Zhibin, et al. ""Tora: A tool-integrated reasoning agent for mathematical problem solving."" arXiv preprint arXiv:2309.17452 (2023)."
"Schulhoff, Sander, et al. ""The prompt report: a systematic survey of prompt engineering techniques."" arXiv preprint arXiv:2406.06608 (2024)."
"Qin, Yujia, et al. ""Tool learning with foundation models."" ACM Computing Surveys 57.4 (2024): 1-40."
"Qu, Changle, et al. ""Tool learning with large language models: A survey."" Frontiers of Computer Science 19.8 (2025): 198343."
"Zhuang, Yuchen, et al. ""Toolqa: A dataset for llm question answering with external tools."" Advances in Neural Information Processing Systems 36 (2023): 50117-50143."
"Xie, Jian, et al. ""Travelplanner: A benchmark for real-world planning with language agents."" arXiv preprint arXiv:2402.01622 (2024)."
